Postnummer,Ort,KnNamn,KnKod,LnNamn,Latitude,Longitude,Google-maps
82923,Gnarp,NORDANSTIG,2132,Gävleborgs län,62.0489411,17.2549681,"https://www.google.se/maps/@62.0489411,17.2549681,12z?entry=ttu"
82950,Bergsjö,NORDANSTIG,2132,Gävleborgs län,61.9723905,17.048432,"https://www.google.se/maps/@61.9723905,17.048432,12z?entry=ttu"
82951,Bergsjö,NORDANSTIG,2132,Gävleborgs län,61.9800215,17.0627975,"https://www.google.se/maps/@61.9800215,17.0627975,12z?entry=ttu"
82952,Bergsjö,NORDANSTIG,2132,Gävleborgs län,61.9800215,17.0627975,"https://www.google.se/maps/@61.9800215,17.0627975,12z?entry=ttu"
82953,Bergsjö,NORDANSTIG,2132,Gävleborgs län,61.9800215,17.0627975,"https://www.google.se/maps/@61.9800215,17.0627975,12z?entry=ttu"
82960,Gnarp,NORDANSTIG,2132,Gävleborgs län,62.0489411,17.2549681,"https://www.google.se/maps/@62.0489411,17.2549681,12z?entry=ttu"
82961,Gnarp,NORDANSTIG,2132,Gävleborgs län,62.0686123,17.2043183,"https://www.google.se/maps/@62.0686123,17.2043183,12z?entry=ttu"
82962,Gnarp,NORDANSTIG,2132,Gävleborgs län,62.070055,17.5331518,"https://www.google.se/maps/@62.070055,17.5331518,12z?entry=ttu"
82991,Ilsbo,NORDANSTIG,2132,Gävleborgs län,61.8583899,17.0535699,"https://www.google.se/maps/@61.8583899,17.0535699,12z?entry=ttu"
82995,Harmånger,NORDANSTIG,2132,Gävleborgs län,61.9297559,17.2173637,"https://www.google.se/maps/@61.9297559,17.2173637,12z?entry=ttu"
82998,Hassela,NORDANSTIG,2132,Gävleborgs län,62.1111126,16.7220909,"https://www.google.se/maps/@62.1111126,16.7220909,12z?entry=ttu"
83102,Östersund,ÖSTERSUND,2380,Jämtlands län,63.175353,14.6507833,"https://www.google.se/maps/@63.175353,14.6507833,12z?entry=ttu"
83103,Östersund,ÖSTERSUND,2380,Jämtlands län,63.175353,14.6507833,"https://www.google.se/maps/@63.175353,14.6507833,12z?entry=ttu"
83104,Östersund,ÖSTERSUND,2380,Jämtlands län,63.175353,14.6507833,"https://www.google.se/maps/@63.175353,14.6507833,12z?entry=ttu"
